v4_0,mmm-yy,Time,uk-only,Geography,cpih1dim1aggid,Aggregate
105,Jan-20,Jan-20,K02000001,United Kingdom,CP12,12 Miscellaneous goods and services
112.1,Jan-20,Jan-20,K02000001,United Kingdom,CP08,08 Communication
117.5,Jan-20,Jan-20,K02000001,United Kingdom,CP10,10 Education
103.6,Jan-20,Jan-20,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
111.6,Jan-20,Jan-20,K02000001,United Kingdom,CP06,06 Health
100.7,Jan-20,Jan-20,K02000001,United Kingdom,CP03,03 Clothing and footwear
111.5,Jan-20,Jan-20,K02000001,United Kingdom,CP07,07 Transport
115.7,Jan-20,Jan-20,K02000001,United Kingdom,CP02,02 Alcoholic beverages and tobacco
108.3,Jan-20,Jan-20,K02000001,United Kingdom,CP00,Overall Index
104.2,Jan-20,Jan-20,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
111.7,Jan-20,Jan-20,K02000001,United Kingdom,CP11,11 Restaurants and hotels
108.4,Jan-20,Jan-20,K02000001,United Kingdom,CP09,09 Recreation and culture
108,Jan-20,Jan-20,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
112.4,Feb-20,Feb-20,K02000001,United Kingdom,CP08,08 Communication
108.8,Feb-20,Feb-20,K02000001,United Kingdom,CP09,09 Recreation and culture
105.4,Feb-20,Feb-20,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
108,Feb-20,Feb-20,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
101.6,Feb-20,Feb-20,K02000001,United Kingdom,CP03,03 Clothing and footwear
108.6,Feb-20,Feb-20,K02000001,United Kingdom,CP00,Overall Index
105.3,Feb-20,Feb-20,K02000001,United Kingdom,CP12,12 Miscellaneous goods and services
112.3,Feb-20,Feb-20,K02000001,United Kingdom,CP11,11 Restaurants and hotels
104.4,Feb-20,Feb-20,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
115.7,Feb-20,Feb-20,K02000001,United Kingdom,CP02,02 Alcoholic beverages and tobacco
117.5,Feb-20,Feb-20,K02000001,United Kingdom,CP10,10 Education
112.1,Feb-20,Feb-20,K02000001,United Kingdom,CP06,06 Health
112,Feb-20,Feb-20,K02000001,United Kingdom,CP07,07 Transport
105.6,Mar-20,Mar-20,K02000001,United Kingdom,CP12,12 Miscellaneous goods and services
112.4,Mar-20,Mar-20,K02000001,United Kingdom,CP11,11 Restaurants and hotels
108,Mar-20,Mar-20,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
101.2,Mar-20,Mar-20,K02000001,United Kingdom,CP03,03 Clothing and footwear
108.9,Mar-20,Mar-20,K02000001,United Kingdom,CP09,09 Recreation and culture
108.6,Mar-20,Mar-20,K02000001,United Kingdom,CP00,Overall Index
105.4,Mar-20,Mar-20,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
111.4,Mar-20,Mar-20,K02000001,United Kingdom,CP07,07 Transport
116.2,Mar-20,Mar-20,K02000001,United Kingdom,CP02,02 Alcoholic beverages and tobacco
117.5,Mar-20,Mar-20,K02000001,United Kingdom,CP10,10 Education
112.5,Mar-20,Mar-20,K02000001,United Kingdom,CP06,06 Health
104.6,Mar-20,Mar-20,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
113.1,Mar-20,Mar-20,K02000001,United Kingdom,CP08,08 Communication
117.5,Apr-20,Apr-20,K02000001,United Kingdom,CP10,10 Education
112.4,Apr-20,Apr-20,K02000001,United Kingdom,CP06,06 Health
104.8,Apr-20,Apr-20,K02000001,United Kingdom,CP12,12 Miscellaneous goods and services
108.6,Apr-20,Apr-20,K02000001,United Kingdom,CP00,Overall Index
104.4,Apr-20,Apr-20,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
103.8,Apr-20,Apr-20,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
117,Apr-20,Apr-20,K02000001,United Kingdom,CP02,02 Alcoholic beverages and tobacco
111.4,Apr-20,Apr-20,K02000001,United Kingdom,CP07,07 Transport
108.2,Apr-20,Apr-20,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
99.8,Apr-20,Apr-20,K02000001,United Kingdom,CP03,03 Clothing and footwear
113.7,Apr-20,Apr-20,K02000001,United Kingdom,CP08,08 Communication
